title,ingredients
Sour Cream Chocolate-Chip Cake,"['finely chopped pecans', 'whole pecans', '12-ounce package of chocolate chips', 'packed brown sugar', 'cinnamon', 'flour', 'sugar', '(1 stick) butter', '', 'sour cream', 'vanilla', '1/2 teaspoons baking powder', 'baking soda', 'cinnamon', 'powdered sugar (optional)']"
Sour Cream Coffee Cake with Pears and Pecans,"['1/2 cups pecans (about 6 ounces)', '(packed) golden brown sugar', 'all purpose flour', 'ground cinnamon', '(1/4 stick) chilled unsalted butter, cut into 1/2-inch cubes', '3/4 cups all purpose flour', 'baking powder', 'salt', 'baking soda', '(2 sticks) unsalted butter, room temperature', 'sugar', '(packed) golden brown sugar', 'eggs', 'grated lemon peel', 'vanilla extract', 'sour cream', 'whole milk', '1/2 cups 1/2-inch cubes peeled pears']"
Sour Cream Layer Cake with Pecan Brittle,"['Nonstick vegetable oil spray', 'sugar', 'water', 'cream of tartar', 'pecan halves, toastedcoarsely chopped', 'Nonstick vegetable oil spray', '18.25-ounce box yellow cake mix', 'eggs', 'sour cream', 'vegetable oil', 'vanilla extract', 'almond extract', 'bittersweet (not unsweetened) or semisweet chocolate, coarsely grated', '(packed) dark brown sugar', 'water', 'whipping cream', '(about) powdered sugar', '(2 sticks) unsalted butter, room temperature']"
Sour Cream Maple Cake with Lemon Glaze,"['Nonstick vegetable oil spray', 'all purpose flour', 'baking powder', 'baking soda', 'salt', '1/3 cups sour cream', 'pure maple syrup', 'walnuts, toasted, chopped', 'plus 1 1/3 cups maple sugar', 'ground cinnamon', 'butter, cut into pieces, room temperature', 'eggs', 'vanilla extract', '1/3 cups powdered sugar', 'sour cream', 'pure maple syrup', '1/2 teaspoons fresh lemon juice', 'vanilla extract', 'grated lemon peel', 'Whipped cream']"
Sour Cream-Orange Coffee Cake with Chocolate-Pecan Streusel,"['1/2 cups (packed) golden brown sugar', 'ground cinnamon', '(3/4 stick) chilled salted butter, diced', '1/2 cups coarsely chopped pecans', '(6 ounces) semisweet chocolate chips', 'all purpose flour', '1/2 teaspoons baking soda', '1/2 teaspoons baking powder', '1/3 cups sugar', '(1 1/2 sticks) salted butter, room temperature', 'eggs', '1/2 teaspoons grated orange peel', '1/2 teaspoons vanilla extract', '1/2 cups sour cream', 'orange juice', 'Powdered sugar']"
Sour Cream-Streusel Coffee Cake,"['1/4 cups coarsely chopped walnuts', '1/4 cups (packed) golden brown sugar', '1/2 teaspoons ground cinnamon', '1/2 teaspoons unsweetened cocoa powder', 'dried currants', 'cake flour', '1/2 teaspoons baking soda', '1/2 teaspoons baking powder', 'salt', '(1 1/2 sticks) unsalted butter, room temperature', '1/2 cups sugar', 'eggs', 'vanilla extract', '16-ounce container sour cream', 'powdered sugar', 'milk']"
Spice Cake with Blackberry Filling and Cream Cheese Frosting,"['cake flour', 'ground cinnamon', 'baking soda', 'salt', 'ground allspice', 'ground ginger', 'ground nutmeg', '(1 stick) unsalted butter, room temperature', '1/2 cups (packed) golden brown sugar', 'eggs, separated', 'sour cream', '1/2-pint baskets blackberries', 'sugar', '1/2 8-ounce packages cream cheese, room temperature', '(1 1/2 sticks) unsalted butter, room temperature', 'powdered sugar (about 1 1/4 pounds)', 'sour cream', 'vanilla extract', '1/2-pint basket blackberries']"
Spice Cake with Caramelized Pears and Maple Buttercream,"['2/3 cups all-purpose flour', '1/2 teaspoons baking powder', 'salt', 'cinnamon', 'ground ginger', 'grated nutmeg', 'ground cloves', 'whole milk', 'pure vanilla extract', 'unsalted butter, softened', 'granulated sugar', 'packed dark brown sugar', 'eggs', '1/4 pounds Bartlett or Bosc pears (about 5)', 'unsalted butter', 'granulated sugar', 'fresh lemon juice', 'brandy', 'egg whites at room temperature 30 minutes', 'cream of tartar', 'salt', 'maple sugar', '1/3 cups pure maple syrup (preferably Grade A dark amber)', '(1 pound) unsalted butter, cut into tablespoons and softened', ""Equipment: 3 (8-inch) round cake pans (2 inches deep; see cooks' note, below); a candy thermometer""]"
Spice Cake with Molasses Cream Cheese Frosting,"['all purpose flour', '1/4 cups sugar', 'baking soda', 'ground cinnamon', 'ground allspice', 'salt', 'apple butter', 'buttermilk', 'vegetable oil', 'eggs', 'unsulfured (light) molasses', 'golden raisins', '1/2 pounds cream cheese, room temperature', 'powdered sugar', 'unsulfured (light) molasses', '(1/2 stick) unsalted butter, room temperature', 'vanilla extract', 'firmly packed dark brown sugar', 'whipping cream', '1/2 cups chopped toasted walnuts']"
Spiced Apple Cake with Eggnog Sauce,"['raisins or dried cranberries', 'Applejack, dark or golden rum, or warm water', 'all-purpose flour', 'baking powder', 'baking soda', 'ground allspice', 'ground cinnamon', 'freshly grated nutmeg', 'ground cloves', 'salt', '(packed) light brown sugar, sifted', 'granulated sugar', '(2 sticks) unsalted butter, softened', 'eggs', 'vanilla extract', 'Delicious apples, peeled, cored, and cut into 1/2-inch dice (about 4 cups)', '(4 ounces) pecans, coarsely chopped', 'crystallized ginger, finely chopped', 'Special Equipment: 10-inch bundt pan (3 1/4 inches deep; 3-qt capacity)', ""Garnish: confectioner's sugar for dusting"", 'Accompaniment: 3 cups eggnog, chilled']"
Spiced Hazelnut-Pear Cake With Chocolate Sauce,"['but firm Bosc pears (about 3 3/4 pounds)', 'dry white wine', 'light brown sugar', 'unsalted butter, cubed', 'ground cinnamon', 'vanilla extract', '(1 1/2 sticks) butter, softened, plus more for pan', 'blanched hazelnuts', '3/4 cups all-purpose flour', '1/4 teaspoons baking powder', '1/2 teaspoons baking soda', '1/2 teaspoons ground cinnamon', 'ground cloves', 'ground nutmeg', 'kosher salt', '1/4 cups light brown sugar', 'granulated sugar', 'vanilla extract', 'eggs', 'dark chocolate, coarsely chopped', '1/2 cups heavy cream, divided', 'A 9"" cake pan (preferably springform)']"
Spiced Honey Cake With Cream Cheese Frosting,"['Nonstick vegetable oil spray', 'gluten-free all-purpose baking flour', '1/2 teaspoons baking powder', 'baking soda', 'kosher salt', '1/2 teaspoons ground cinnamon', 'ground ginger', 'freshly grated nutmeg', 'granulated sugar', '(packed) light brown sugar', 'vegetable oil', 'honey', 'egg', 'egg yolk', 'bean, split lengthwise', 'fresh orange juice', 'whey or buttermilk', 'cream cheese, room temperature', 'unsalted butter, room temperature', 'powdered sugar', 'finely grated lemon zest', 'Pinch of kosher salt', 'bean, split lengthwise', '(13.5-ounce) can unsweetened coconut milk, cream separated from milk, room temperature', 'Bee pollen, fennel fronds, edible flowers, and berries (for serving; optional)']"
Spiced Layer Cake with Orange Cream Cheese Frosting,"['all purpose flour', 'baking soda', 'baking powder', 'ground ginger', 'ground cardamom', 'ground cinnamon', 'ground nutmeg', 'salt', 'sugar', '(2 sticks) unsalted butter, room temperature', 'grated orange peel', 'eggs', 'sour cream', 'whole milk', 'Orange Cream Cheese Frosting']"
Spiced Nectarine Cake,"['(1 stick) unsalted butter, room temperature', 'plus 3 tablespoons sugar', 'eggs', 'fresh lemon juice', '1/2 teaspoons finely grated lemon peel', '1/4 cups self-rising flour', 'nectarines (about 1 3/4 pounds), halved, each half cut into 4 slices', 'ground cinnamon']"
Spiced Pumpkin Cake with Cream Cheese Frosting and Chocolate Leaves,"['imported milk chocolate (such as Lindt), finely chopped, plus one 1-inch piece of milk chocolate', 'lemon or camellia leaves, wiped clean with moist paper towels, patted dry', ""good-quality white chocolate (such as Lindt or Baker's), finely chopped, plus one 1-inch piece of white chocolate"", 'bittersweet (not unsweetened) or semisweet chocolate, finely chopped, plus one 1-inch piece of bittersweet chocolate', 'Nonstick vegetable oil spray', 'cake flour', 'baking powder', 'ground cinnamon', 'ground nutmeg', 'baking soda', 'salt', 'ground cloves', 'dried currants', 'chopped walnuts', '(1 stick) unsalted butter, room temperature', '1/2 cups (packed) golden brown sugar', 'eggs', 'whole milk', 'canned solid pack pumpkin', '(2 sticks) unsalted butter, room temperature', '(packed) dark brown sugar', 'robust-flavored (dark) molasses', 'vanilla extract', '1/2 teaspoons grated orange peel', '8-ounce packages chilled cream cheese', 'powdered sugar']"
Spiced Pumpkin Layer Cake with Cream Cheese Frosting,"['Butter for coating cake pans, at room temperature', 'all-purpose flour, plus extra for dusting the pan', 'granulated sugar', 'baking soda', 'ground cinnamon', 'kosher or sea salt', 'freshly grated nutmeg', 'ground cloves', 'eggs, beaten', 'canola or vegetable oil', 'pure vanilla extract', '1/4 cups canned unsweetened pumpkin purée', 'lightly packed sweetened flaked coconut', 'canned crushed pineapple (do not drain)', 'dried currants', '(8 ounces each) cream cheese, at room temperature', '(2 sticks) unsalted butter, at room temperature', 'canned unsweetened pumpkin purée', ""1/2 cups confectioners' sugar, sifted"", 'pure vanilla extract']"
Spiced Sweet Potato Bundt Cake,"['unsalted butter, melted, slightly cooled, plus more', '1/3 cups all-purpose flour plus more', '1/2 lb orange-fleshed sweet potatoes, peeled, cut into large pieces', 'sugar', 'baking soda', 'ground cinnamon', 'ground allspice', 'grated nutmeg', 'ground ginger', 'kosher salt', '', 'chocolate chips', 'Chocolate-Chicory Sauce', '-cup Bundt pan']"
Star Anise and Coriander Spice Cake,"['1/4 cups all-purpose flour', 'baking powder', 'salt', 'coriander seeds', 'of star anise', 'unsalted butter, softened', 'sugar', 'uncooked farina such as Cream of Wheat', 'egg', 'yolks', 'whole milk', 'Garnish: strawberries']"
Stout Spice Cake with Lemon Glaze,"['1/2 cups all-purpose flour', 'salt', '1/2 teaspoons baking soda', '1/2 teaspoons double-acting baking powder', 'ground ginger', 'cinnamon', 'ground cloves', 'aniseed, ground in an electric spice grinder', 'unsulfured molasses', '1/2 sticks (3/4 cup) unsalted butter, melted and cooled slightly', 'firmly packed dark brown sugar', 'a 12-ounce bottle of stout', 'eggs, beaten lightly', 'milk', 'chopped pecans, toasted lightly', ""confectioners' sugar"", '1/2 tablespoons fresh lemon juice']"
Strawberry-Almond Cornmeal Cake,"['raw skin-on almonds', 'freeze-dried strawberries', 'all-purpose flour', 'granulated sugar', 'kosher salt', '(1 stick) chilled unsalted butter, cut into pieces', 'Nonstick vegetable oil spray', '1/4 cups all-purpose flour', 'cornmeal', '1/2 teaspoons baking powder', 'kosher salt', 'almond paste', 'granulated sugar', '(1 1/2 sticks) unsalted butter, room temperature', 'eggs', 'strawberries, hulled, half halved, half quartered', 'Powdered sugar (for serving)', 'A 9"" springform pan']"
Strawberry and Cream Cake with Cardamom Syrup,"['egg yolks', '1/2 cups sugar', 'whole milk', 'vanilla', 'finely grated fresh lemon zest', 'all-purpose flour', 'salt', 'egg whites', '1/2 cups Muscat de Beaumes-de-Venise or Essensia (orange-flavored Muscat wine)', 'sugar', 'ground cardamom', 'chilled heavy cream', 'sour cream', 'sugar', 'vanilla', '1/2 pound strawberries, 5 left whole and remainder trimmed and cut lengthwise into 1/4-inch-thick slices', 'Special equipment: 3 (9- by 2-inch) round cake pans; parchment paper']"
Strawberry Basket Cake,"['all purpose flour', 'baking powder', 'baking soda', 'salt', '(1 1/2 sticks) unsalted butter, room temperature', 'plus 2 tablespoons sugar', 'sour cream', 'cup orange juice', '§ teaspoons grated orange peel', 'vanilla extract', 'eggs', '12-ounce baskets strawberries', 'strawberry preserves', 'Whipped Crème Fraîche']"
Strawberry Cream Cake,"['strawberries (about 3 pints)', 'sugar', 'fresh lemon juice', 'egg yolks', 'sugar', 'half-and-half', '1/2 tablespoons cornstarch', 'Punsch (Swedish liqueur) if desired', '1/2 cups cake flour (not self-rising)', 'baking powder', 'salt', 'eggs', '1/4 cups sugar', '(1/4 cup) unsalted butter, melted and cooled', 'vanilla', '1/2 cups chilled heavy cream', 'sugar', 'Garnish: strawberries']"
Strawberry Lemon Bavarian Cake,"['(1/2 cup) unsalted butter, softened', 'sugar', 'vanilla', 'all-purpose flour', 'double-acting baking powder', 'salt', 'strained fresh lemon juice', 'sugar', 'orange-flavored liqueur', '(about 2 tablespoons) unflavored gelatin', 'well chilled heavy cream', '1/2 pints strawberries, diced (about 3 cups)', 'about 24 strawberries, halved, for garnish']"
Strawberry-Orange Ricotta Cake with Pistachios,"['shelled natural unsalted pistachios (about 4 3/4 ounces)', 'sifted cake flour (sifted, then measured)', 'eggs, separated', 'sugar', 'water', 'sugar', '1x1/8-inch strips orange peel (orange part only)', 'orange juice', 'Grand Marnier or other orange liqueur', '15-ounce container whole-milk ricotta cheese', 'powdered sugar', 'chilled heavy whipping cream', 'vanilla extract', 'finely chopped bittersweet (not unsweetened) or semisweet chocolate', 'shelled natural unsalted pistachios, lightly toasted, chopped', 'strawberries, hulled, sliced', 'seedless raspberry jam']"
"Strawberry-Rhubarb ""Courting"" Cake","['(2 sticks) unsalted butter, room temperature', 'plus 8 tablespoons sugar', '', 'vanilla extract', '3/4 cups all purpose flour', 'baking powder', 'ground nutmeg', 'salt', 'milk', '1/2 cups chilled whipping cream', 'Powdered sugar', '1-pint basket strawberries, stemmed', 'Makes about 3 1/2 cups', '1/2-inch-thick rhubarb slices (about 1 generous pound)', 'sugar', 'water', '16-ounce package frozen sliced sweetened strawberries, thawed', 'vanilla extract', 'ground nutmeg']"
Swedish Meringue Cake with Strawberries and Orange Filling,"['1/2 cups cake flour (not self-rising)', '1/2 teaspoons double-acting baking powder', 'salt', '1/2 sticks (3/4 cup) unsalted butter, softened', '3/4 cups sugar', 'eggs, separated', 'vanilla', 'milk', 'sliced blanched almonds, ground fine in an electric coffee or spice grinder', 'sugar', 'cornstarch', 'freshly grated orange zest', 'freshly grated lemon zest', 'fresh orange juice', 'fresh lemon juice', 'egg yolks', '1/2 pints strawberries, reserving 11 whole berries for garnish and the remaining ones chopped fine', 'well-chilled heavy cream', ""confectioners' sugar""]"
Sweet-Potato and Parmesan Cake,"['sweet potatoes (6 to 7 inches long), peeled', 'finely grated Parmigiano-Reggiano (1 ounce)', 'extra-virgin olive oil', 'salt', 'black pepper']"
Sweet-Potato Layer Cake with Orange-Cream Cheese Frosting,"['tan-skinned sweet potatoes (about 3 medium)', 'cake flour', 'baking soda', 'baking powder', 'ground cinnamon', 'ground ginger', 'salt', 'ground cloves', 'vegetable oil', 'sugar', '(packed) golden brown sugar', 'eggs', 'plus 1/4 cup chopped walnuts, toasted', 'plus 1/4 cup dried cranberries', '8-ounce package cream cheese, room temperature', '(1 stick) unsalted butter, room temperature', 'powdered sugar, sifted', 'frozen orange juice concentrate, thawed', 'vanilla extract', 'sliced candied orange peel', 'sugar']"
Tea Cake Sandwich Cookies,"['all purpose flour', 'salt', '1/4 cups (21/2 sticks) unsalted butter, room temperature', 'sugar', '1/2 tablespoons whole milk', 'grated lemon peel', 'vanilla extract', 'Nonstick vegetable oil spray', 'Assorted decorations (such as powdered sugar, icing, colored sugar crystals, and edible glitter)', 'preserves (such as apricot, seedless raspberry, or seedless blackberry)']"
The Tomboy Cake,"['(2 sticks) unsalted butter, room temperature, plus more', '1/2 cups all-purpose flour plus more', 'slivered almonds', 'baking powder', '1/2 teaspoons kosher salt', 'whole milk', 'vanilla extract', '1/2 cups sugar, divided', 'egg yolks', 'egg whites', 'unflavored gelatin', 'fresh lemon juice', 'sugar', 'eggs', '(3/4 stick) unsalted butter, cut into 1/2"" pieces', 'chilled heavy cream', 'powdered sugar', 'plus 2 tablespoons sugar', 'kosher salt', 'egg whites', 'cream of tartar', 'vanilla extract', 'strawberry jam', 'Special equipment: Three 8""-diameter cake pans with 2"" sides; a candy thermometer; a pastry bag; a large star piping tip']"
Three Berry Butter Cake,"['(1/2 cup) unsalted butter', 'heavy cream', 'eggs at room temperature', '1/4 cups granulated sugar', 'salt', 'finely grated fresh lemon zest', 'baking powder', 'vanilla', '1/2 cups cake flour (not self-rising)', 'mixed berries (1 3/4 ponds) such as raspberries, blackberries, and blueberries', 'confectioners sugar']"
Tipsy Cake,"['whole milk', 'heavy cream', 'egg yolks', 'sugar', 'cornstarch', '1/2 cups cake flour (not self-rising)', '1/2 teaspoons baking powder', 'salt', '1/4 sticks unsalted butter, softened', 'sugar', 'vanilla', 'eggs', 'egg yolk', 'whole milk', 'sweet Sherry, brandy, or dessert wine', 'strawberry jam', 'Accompaniment: lightly sweetened whipped cream']"
Tiramisu Ice-Cream Cake,"['a 10- to 12-ounce frozen pound cake, partially defrosted and sliced crosswise into 1/4 inch-thick slices (about 28)', 'dark rum', 'Kahlúa', 'whole eggs', 'sugar', 'vanilla', 'mascarpone (about 17 1/2 ounces, available at most cheese shops and some specialty food shops)', 'egg white', 'eggs', 'sugar', 'vanilla', 'milk', '1/2 cups heavy cream', 'instant espresso powder dissolved in 3 tablespoons boiling water', 'fine-quality bittersweet chocolate, grated']"
Tiramisu Wedding Cake with Mixed Berries,"['1/2 cups unbleached all purpose flour', 'baking powder', 'salt', '3/4 cups (5 1/2 sticks) unsalted butter, room temperature', '2/3 cups sugar', '1/2 tablespoons vanilla extract', 'almond extract', '3/4 cups whole milk (do not use low-fat or nonfat)', 'egg whites (about 2 1/3 cups), room temperature', 'Kahlúa or other coffee liqueur', '1/2 cups water', 'plus 1 tablespoon instant espresso powder or coffee powder', '8-ounce packages cream cheese, room temperature', 'powdered sugar', '1/3 cups chilled whipping cream', 'sweet Marsala', '1/2 tablespoons vanilla extract', 'semisweet chocolate, chopped', '6-inch-diameter cardboard cake round', '9-inch-diameter cardboard cake round', '12-inch-diameter cardboard cake round', '11-inch-diameter revolving cake stand (optional)', '12-inch-long, 1/4-inch-diameter wood dowels', '1/2 cups assorted berries (such as raspberries, blueberries, blackberries and strawberries)', 'Fresh mint sprigs', 'mixed berries (such as raspberries, blueberries, blackberries and hulled, quartered strawberries)', 'sugar']"
Toasted-Almond Cake with Strawberries in Rosé-Water Syrup,"['whole almonds with skins (1/4 pound), toasted and cooled', '1/4 cups all-purpose flour', 'baking powder', 'salt', 'eggs, at room temperature 30 minutes', '1/4 cups superfine granulated sugar', '1/2 sticks (3/4 cup) unsalted butter, melted and cooled', 'whole milk', 'almond extract', 'sliced almonds (2 ounces)', 'water', '1/3 cups granulated sugar', 'fresh lemon juice', 'strawberries, trimmed and quartered lengthwise', 'rose water or 1 teaspoon pure vanilla extract, or to taste', '1/2 cups chilled heavy cream', 'Special equipment: a 9-inch square baking pan (2 inches deep)']"
Toasted Anise-Seed Cake Slices,"['3/4 cups all-purpose flour', '3/4 teaspoons baking powder', 'salt', 'eggs', 'sugar', 'unsalted butter, melted and cooled', '1/2 teaspoons anise seeds, finely crushed', 'Special equipment: a stand mixer fitted with whisk attachment']"
Toasted Coconut Macadamia Pound Cake,"['sweetened flaked coconut (about 6 ounces)', 'a 7-ounce jar macadamia nuts (about 1 1/2 cups)', '(1 cup) unsalted butter, softened', '1/2 cups firmly packed light brown sugar', 'cream cheese, softened', 'eggs', 'vanilla', '2/3 cups all-purpose flour', '1/2 teaspoons baking powder', 'salt', 'of water', 'sugar', 'amber or dark rum']"
Toasted-Hazelnut Cake,"['1/2 cups hazelnuts (8 ounces), toasted', 'matzo cake meal', 'sugar', 'eggs, separated, at room temperature', 'finely grated fresh lemon zest', 'salt', 'Warm Sweet Chocolate Glaze']"
Traditional Provencal Christmas Cake,"['1/2 teaspoons active dry yeast', 'orange-flower water', '1/4 cups unbleached, all-purpose flour', 'sea salt', 'eggs, lightly beaten', 'sugar', 'olive oil', 'Zest of 1 lemon, minced', 'anise seeds', 'candied fruit, diced']"
"Tre, Tre, Tre Cake","['1/4 to 1 1/2 cups superfine sugar', 'eggs', 'lemon or orange zest', 'whole milk', 'extra-virgin olive oil', '1/2 cups cake flour', '1/2 teaspoons baking powder', 'salt']"
Triple-Layer Carrot Cake with Cream Cheese Frosting,"['sugar', '1/2 cups vegetable oil', 'eggs', 'all purpose flour', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'ground nutmeg', 'finely grated peeled carrots (about 1 pound)', 'chopped pecans (about 1/2 ounce)', 'raisins', 'powdered sugar', '8-ounce packages cream cheese, room temperature', '(1 stick) unsalted butter, room temperature', 'vanilla extract']"
Triple-Layer White Cake with Orange Curd Filling and Frosting,"['fresh lemon juice', 'unflavored gelatin', '1/2 cups sugar', 'orange juice', 'egg yolks', 'grated orange peel', 'grated lemon peel', '(1 1/2 sticks) unsalted butter, cut into 1/2-inch cubes', '3/4 cups cake flour', '1/4 cups plus 2/3 cup sugar', 'baking powder', 'salt', 'vegetable oil', 'egg yolks', 'sour cream', 'plus 1 tablespoon whole milk', 'grated orange peel', '1/2 teaspoons vanilla extract', 'egg whites', 'cream cheese, room temperature', '(1 1/4 sticks) unsalted butter, room temperature', '2/3 cups powdered sugar']"
Tropical Carrot Cake with Coconut Cream Cheese Frosting,"['1/3 cups sifted all purpose flour (sifted, then measured)', 'sweetened flaked coconut', 'dry-roasted macadamia nuts', 'chopped crystallized ginger', '1/2 teaspoons ground cinnamon', '1/2 teaspoons baking powder', 'salt', 'baking soda', 'sugar', 'vegetable oil', 'eggs', 'vanilla extract', 'finely grated peeled carrots', '8-ounce cans crushed pineapple in its own juice, well drained', '8-ounce packages Philadelphia-brand cream cheese, room temperature', '(1 1/2 sticks) unsalted butter, room temperature', 'powdered sugar', 'canned sweetened cream of coconut (such as Coco López)', 'vanilla extract', '(scant) coconut extract', 'dry-roasted macadamia nuts', 'chopped crystallized ginger']"
Tropical Fruit and Cake Trifle,"['(3.4 ounces) vanilla pudding', 'Vegetable oil cooking spray', '1/2 cups sugar, divided', 'cake flour, sifted', 'salt', 'egg whites (or 2 1/2 cups store-bought egg whites)', 'cream of tartar', 'peach jam', 'shredded coconut', '1/2 cups heavy cream', 'coconut extract', 'fruit, such as mango, papaya, kiwi, strawberries, banana, cut into 1-inch pieces']"
Upside-Down Blood Orange–Polenta Cake,"['Nonstick vegetable oil spray', '(packed) light brown sugar', '(1 1/2 sticks) unsalted butter, room temperature, divided', 'oranges, peel and white pith removed, each sliced into 4 rounds, seeds removed', '1/2 cups all-purpose flour', 'polenta (not quick-cooking)', '1/2 teaspoons kosher salt', '1/2 teaspoons baking powder', 'baking soda', 'granulated sugar', 'bean, split lengthwise', 'eggs, room temperature', 'buttermilk, room temperature', 'Lemon omani (dried black limes), green cardamom pods, and softly whipped cream (for serving; optional)', 'A 9"" springform pan']"
Upside-Down Butterscotch Apple Sour Cream Cake,"['1/2 cups all purpose flour', '1/2 teaspoons baking powder', 'salt', '(1 stick) unsalted butter, room temperature', ""baker's sugar (superfine sugar) or regular sugar"", 'eggs', '1/2 teaspoons vanilla extract', 'sour cream', 'Delicious apple, peeled, cored, finely chopped (about 3/4 cup)', '(3/4 stick) unsalted butter', '(packed) dark brown sugar', 'butterscotch morsels', '8-ounce Golden Delicious apples, peeled, halved, cored, cut into 1/4-inch-thick slices']"
Valrhona Chocolate Cherry Cake,"['dried sour cherries (about 5 ounces)', 'brandy', 'fine-quality semisweet chocolate (preferable Valrhona), chopped', '(1/2 cup) unsalted butter', 'eggs, separated', 'plus 2 tablespoons sugar', 'plus 2 tablespoons fine-quality unsweetened cocoa powder, sifted']"
Vanilla Bean Pound Cake with Sour Cream Ice Cream and Strawberries,"['(4 sticks) unsalted butter, room temperature', 'grated lemon peel', 'bean, split lengthwise', '1/3 cups sugar', 'eggs', 'egg yolks', 'vanilla extract', 'salt', '1/4 cups all purpose flour', '1-pint baskets strawberries, hulled, halved', 'powdered sugar', 'Sour Cream Ice Cream']"
Vanilla-Buttermilk Cake With Raspberries and Orange Cream-Cheese Frosting,"['Nonstick vegetable oil spray', 'cake flour', 'baking powder', 'baking soda', 'kosher salt', '(1 1/2 sticks) unsalted butter, room temperature', '3/4 cups granulated sugar, divided', 'eggs, separated', 'vanilla extract', 'buttermilk', 'granulated sugar', 'bean, split lengthwise', '(8-ounce) packages cream cheese, chilled', 'unsalted butter, room temperature', 'finely grated orange zest', 'fresh orange juice', 'vanilla extract', 'powdered sugar, sifted', 'raspberries, divided', 'Edible flowers (for garnish; optional)', 'A 10-inch round cake pan']"
Vanilla-Buttermilk Sheet Cake With Raspberries and Orange Cream-Cheese Frosting,"['cake flour, plus more for pan', 'baking powder', 'baking soda', 'kosher salt', '(1 1/2 sticks) unsalted butter, room temperature', '3/4 cups granulated sugar, divided', 'eggs, separated', 'vanilla extract', 'buttermilk', 'granulated sugar', 'bean, split lengthwise', '(8-ounce) package cream cheese, chilled', 'unsalted butter, room temperature', 'finely grated orange zest', '1/2 teaspoons fresh orange juice', 'vanilla extract', '. powdered sugar, sifted', 'raspberries', 'Edible flowers (for garnish; optional)']"
Vanilla Chiffon Cake with Chocolate Sorbet,"['1/2 cups sugar', 'matzo cake meal', 'potato starch', '1/2 vanilla beans, chopped', 'coarse salt', 'eggs, separated', 'vegetable oil', 'brandy', 'Chocolate Sorbet']"
Vanilla-Buttermilk Wedding Cake With Raspberries and Orange Cream-Cheese Frosting,"['Nonstick vegetable oil spray', 'cake flour, divided', 'baking powder, divided', '1/2 teaspoons baking soda, divided', 'kosher salt, divided', '1/4 cups (4 1/2 sticks) unsalted butter, softened, divided', '1/4 cups granulated sugar, divided', 'eggs, separated', 'vanilla extract, divided', 'buttermilk, divided', 'granulated sugar', 'beans, split lengthwise', '(8-ounce) packages cream cheese, chilled, divided', '1/2 cups (5 sticks) unsalted butter, room temperature, divided', 'finely grated orange zest, divided', 'fresh orange juice, divided', 'vanilla extract, divided', 'powdered sugar, sifted, divided', '(6-ounce) containers raspberries, divided', 'Edible flowers (for garnish; optional)', '(10-inch) round cake pans; 2 (6-inch) round cake pans']"
Walnut and Almond Cake with Orange-Pomegranate Compote,"['Vegetable oil', '3/4 cups walnuts', 'whole almonds', 'matzo cake meal', 'eggs, separated', 'grated lemon peel', 'grated orange peel', 'ground cinnamon', 'salt', 'sugar, divided', 'orange juice', 'oranges, peel of 1 orange removed in strips and reserved', 'pure unsweetened pomegranate juice', 'sugar', 'fresh lemon juice']"
Walnut and Almond Cake with Orange Syrup,"['2/3 cups sugar', 'water', '1/2 tablespoons grated orange peel', 'walnuts (about 12 ounces)', 'almonds (about 12 ounces)', 'rusks, broken coarsely, or 1 cup ground graham crackers', 'ground cinnamon', 'eggs, separated', 'vanilla extract', 'salt']"
Walnut-Apricot Cake in Honey Syrup,"['6-ounce package dried apricots', 'orange juice', '1/2 cups orange blossom honey', 'water', 'Peel of 1 orange, removed in strips using vegetable peeler', 'fresh lemon juice', '(3/4 stick) unsalted butter, melted', 'eggs, separated', 'sugar', 'salt', 'farina (10-minute Cream of Wheat; not instant)', 'walnuts, finely chopped']"
Walnut Cake,"['(2 sticks) unsalted butter, room temperature, plus more for pan', 'raw sugar, divided', 'walnut halves', 'all-purpose flour', '1/2 cups almond flour or almond meal', 'granulated sugar', 'eggs', 'heavy cream', 'plain whole-milk yogurt', 'kosher salt', 'bean, split lengthwise', 'Whipped cream', 'Ingredient info: Almond flour is available at some supermarkets and at natural foods stores and specialty markets.']"
Walnut Cake with Sauteed Pears and Cinnamon Cream,"['1/4 cups unbleached all-purpose flour', 'baking powder', 'pinch of salt', '(1 stick) unsalted butter, at room temperature, cut into pieces', 'sugar', 'eggs, at room temperature, separated', 'milk', 'chopped walnuts', 'pure vanilla extract', 'unsalted butter', 'Bosc pears, cored, peeled and cut into 1/4-inch pieces', 'brown sugar', 'ground cinnamon', 'ground nutmeg', 'fresh lemon juice', 'heavy cream', 'sugar', 'ground cinnamon']"
"Walnut Cake with Sautéed Pears, Pecorino, and Black Pepper Ice Cream","['whole milk', 'heavy whipping cream', 'whole black peppercorns', 'Pinch of salt', 'egg yolks', 'plus 1 tablespoon sugar', '(about 1/2 pound) chopped walnuts', 'powdered sugar', 'almond flour*', 'all purpose flour', 'salt', 'egg whites', 'vanilla extract', '(packed) golden brown sugar', '(3/4 stick) unsalted butter', 'sugar', '1/2 tablespoons honey', 'Anjou pears, peeled, cored, cut into 1/4-inch-thick slices', '1/2 tablespoons pear brandy', 'fresh lemon juice', 'shaved Pecorino Romano cheese', '*Available at specialty foods stores and Italian markets.']"
